pattern,quality,pattern_accuracy,support,class_balance,p_value,corrected_p,is_sig,global_accuracy
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}]",0.0604964996370736,0.883495145631068,103,"{1.0: 78, 0.0: 25}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'SE_1_1'}, {'SE_1_1'}, {'W_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}]",0.055476020370766044,0.87,100,"{1.0: 40, 0.0: 60}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'STAY_0_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}]",0.03860133415679701,0.8985507246376812,138,"{0.0: 13, 1.0: 125}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'W_1_0'}, {'STAY_0_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",0.03256473477474908,0.8584070796460177,113,"{1.0: 94, 0.0: 19}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}]",0.03018718740458448,0.8981481481481481,108,"{1.0: 97, 0.0: 11}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SW_1_1'}, {'STAY_0_0'}]",0.028629136491352236,0.8990825688073395,109,"{0.0: 51, 1.0: 58}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'NW_1_1'}, {'W_1_0'}, {'NW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",0.02722080070150401,0.9047619047619048,147,"{1.0: 135, 0.0: 12}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NW_1_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'W_1_0'}]",0.017946414229587315,0.889763779527559,127,"{0.0: 11, 1.0: 116}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'NE_1_1'}, {'NE_1_1'}, {'NE_1_1'}, {'NE_1_1'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}]",0.008390529555227788,0.912,125,"{0.0: 42, 1.0: 83}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'N_0_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}]",0.001709030128860256,0.9166666666666666,132,"{1.0: 122, 0.0: 10}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'NE_1_1'}, {'NE_1_1'}, {'NE_1_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",-0.0009380568264898415,0.8942307692307693,104,"{0.0: 11, 1.0: 93}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'S_0_1'}]",-0.0035493446328087597,0.8833333333333333,120,"{0.0: 16, 1.0: 104}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NW_1_1'}, {'NW_1_1'}, {'E_1_0'}, {'E_1_0'}]",-0.01838619000799091,0.9152542372881356,236,"{0.0: 30, 1.0: 206}",0.000999000999000999,0.0011923560310657085,True,0.9688331432915241
