pattern,quality,pattern_accuracy,support,class_balance,p_value,corrected_p,is_sig,global_accuracy
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'W_1_0'}, {'E_1_0'}, {'S_0_1'}, {'W_1_0'}]",-0.02010169722329347,0.9102564102564102,156,"{1.0: 82, 0.0: 74}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'NW_1_1'}, {'N_0_1'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}]",-0.022054948775441563,0.8954248366013072,153,"{0.0: 13, 1.0: 140}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SW_1_1'}, {'SW_1_1'}, {'S_0_1'}, {'STAY_0_0'}, {'E_1_0'}, {'E_1_0'}]",-0.02572926108533169,0.8925619834710744,121,"{1.0: 22, 0.0: 99}",0.003996003996003996,0.004129204129204129,True,0.9688331432915241
"[{'E_1_0'}, {'S_0_1'}, {'S_0_1'}, {'SE_1_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'S_0_1'}, {'W_1_0'}, {'S_0_1'}, {'SW_1_1'}, {'W_1_0'}, {'N_0_1'}]",-0.029778198723183325,0.8785046728971962,107,"{1.0: 32, 0.0: 75}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}]",-0.03808537298907422,0.9166666666666666,120,"{0.0: 15, 1.0: 105}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'W_1_0'}, {'W_1_0'}]",-0.04712427709877276,0.8648648648648649,111,"{1.0: 94, 0.0: 17}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'NW_1_1'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}]",-0.06622684113044275,0.91,100,"{1.0: 88, 0.0: 12}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'S_0_1'}, {'W_1_0'}, {'N_0_1'}]",-0.08260429135384095,0.9047619047619048,126,"{1.0: 59, 0.0: 67}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'STAY_0_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",-0.08386676911853908,0.9019607843137255,102,"{0.0: 82, 1.0: 20}",0.029970029970029972,0.029970029970029972,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NE_1_1'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}]",-0.11920745255396081,0.8943089430894309,123,"{0.0: 10, 1.0: 113}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'N_0_1'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'W_1_0'}, {'W_1_0'}, {'W_1_0'}, {'SW_1_1'}, {'W_1_0'}, {'S_0_1'}]",-0.13298954376859595,0.9166666666666666,132,"{1.0: 101, 0.0: 31}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'SE_1_1'}, {'S_0_1'}, {'SW_1_1'}, {'S_0_1'}, {'SW_1_1'}, {'SW_1_1'}, {'W_1_0'}, {'W_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}]",-0.1418587160962259,0.9019607843137255,102,"{1.0: 72, 0.0: 30}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
"[{'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'E_1_0'}, {'NE_1_1'}, {'E_1_0'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'N_0_1'}, {'NE_1_1'}, {'E_1_0'}]",-0.16513301426647353,0.9166666666666666,108,"{1.0: 100, 0.0: 8}",0.000999000999000999,0.0011060368203225346,True,0.9688331432915241
